City ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
246,Bacolod,PH,10.6667,122.95,299.26,85,96,4.29,Clouds
247,Belyy Yar,RU,53.6039,91.3903,251.09,77,100,0.0,Smoke
248,Saint-Joseph,RE,-21.3667,55.6167,299.36,75,68,3.27,Clouds
249,Lasa,IT,46.6166,10.7002,276.68,86,100,1.03,Clouds
250,Alappuzha,IN,9.49,76.3264,299.83,78,72,1.63,Clouds
251,Bedele,ET,8.456,36.353,292.78,69,69,1.26,Rain
252,Micheweni,TZ,-4.9667,39.8333,301.35,68,15,3.03,Clouds
253,Codrington,AU,-38.2667,141.9667,284.83,88,92,6.39,Rain
254,Lazurne,UA,46.084,32.5295,281.67,86,100,8.71,Clouds
255,Kudahuvadhoo,MV,2.6708,72.8944,300.54,68,43,2.83,Clouds
256,Borba,BR,-4.3878,-59.5939,306.47,48,58,1.18,Clouds
257,Qaanaaq,GL,77.484,-69.3632,250.89,82,90,2.32,Clouds
258,Cayenne,GF,4.9333,-52.3333,301.17,78,75,3.09,Clouds
259,Marmato,CO,5.4784,-75.5927,295.72,84,100,0.57,Clouds
260,Kalachinsk,RU,55.0529,74.5751,250.89,90,69,2.6,Clouds
261,Tay Ninh,VN,11.3,106.1,298.33,91,9,2.68,Rain
262,Aswan,EG,24.0934,32.907,300.38,30,100,1.92,Clouds
263,Povenets,RU,62.8487,34.8262,266.63,97,77,1.87,Clouds
264,Fiche,ET,9.8,38.7333,289.22,43,100,0.63,Clouds
265,Mudgee,AU,-32.5943,149.5871,284.14,72,0,1.57,Clear
266,San Antonio,US,29.4241,-98.4936,286.02,83,0,1.57,Clear
267,Yara,CU,20.2753,-76.9533,300.46,67,23,0.97,Clouds
268,Kangaatsiaq,GL,68.3065,-53.4641,265.4,74,100,5.83,Clouds
269,Yeppoon,AU,-23.1333,150.7333,298.03,91,100,1.33,Rain
270,Bairnsdale,AU,-37.8333,147.6167,286.51,79,96,2.48,Rain
271,Macas,EC,-2.3167,-78.1167,296.23,60,100,0.65,Clouds
272,Upernavik,GL,72.7868,-56.1549,262.33,90,97,4.89,Clouds
273,Karratha,AU,-20.7377,116.8463,300.39,63,2,6.55,Clear
274,Kapuskasing,CA,49.4169,-82.4331,267.2,86,100,2.06,Clouds
275,Suntar,RU,62.1444,117.6319,247.15,91,91,3.07,Clouds
276,Fallon,US,39.4735,-118.7774,276.82,48,91,3.24,Clouds
277,Samarai,PG,-10.6167,150.6667,301.08,78,100,0.81,Clouds
278,Hithadhoo,MV,-0.6,73.0833,300.69,74,90,2.93,Clouds
279,Jacobina,BR,-11.1806,-40.5183,299.15,71,100,1.03,Clouds
280,Christchurch,NZ,-43.5333,172.6333,285.26,87,100,1.54,Clouds
281,Comodoro Rivadavia,AR,-45.8667,-67.5,291.48,69,100,2.18,Clouds
282,Grand Baie,MU,-20.0182,57.5802,298.4,68,100,2.68,Clouds
283,Najran,SA,17.4924,44.1277,295.93,27,3,6.18,Clear
284,Sri Aman,MY,1.2376,111.4621,296.62,97,85,0.26,Clouds
285,Hof,DE,50.3167,11.9167,278.1,85,0,5.14,Clear
286,Emerald,AU,-23.5333,148.1667,296.12,86,100,0.67,Clouds
287,Bay Roberts,CA,47.5999,-53.2648,277.32,95,100,0.45,Clouds
288,Yulara,AU,-25.2406,130.9889,297.64,25,50,7.26,Clouds
289,Auki,SB,-8.7676,160.7034,298.09,89,100,1.96,Clouds
290,Charlestown,AU,-32.95,151.6667,292.44,92,62,0.45,Clouds
291,Chake Chake,TZ,-5.2459,39.7666,301.09,70,66,3.12,Clouds
292,Coihaique,CL,-45.5752,-72.0662,293.25,57,3,3.82,Clear
293,Swan River,CA,52.1058,-101.2676,270.09,100,100,6.17,Snow
294,Ovsyanka,RU,55.9575,92.5519,253.83,86,100,4.17,Clouds
295,Vardo,NO,70.3705,31.1107,274.14,80,75,5.14,Clouds
296,Port Elizabeth,ZA,-33.918,25.5701,299.32,74,20,13.38,Clouds
297,Great Yarmouth,GB,52.6083,1.7305,282.84,83,100,1.72,Clouds
298,Tsaratanana,MG,-16.7833,47.65,307.42,19,0,1.66,Clear
299,Mamallapuram,IN,12.6264,80.1722,300.18,74,86,5.58,Clouds
300,Nayoro,JP,44.3506,142.4578,274.09,94,100,1.1,Clouds
301,Aklavik,CA,68.2191,-135.0107,246.48,92,100,1.01,Clouds
302,Ostrovnoy,RU,68.0531,39.5131,270.92,89,100,4.74,Clouds
303,Labrea,BR,-7.2586,-64.7981,302.19,66,99,1.52,Clouds
304,Mehamn,NO,71.0357,27.8492,270.1,93,0,4.12,Clear
305,Whitehorse,CA,60.7161,-135.0538,259.71,77,100,3.58,Clouds
306,Petropavlovsk-Kamchatskiy,RU,53.0452,158.6483,272.88,71,100,10.34,Clouds
307,Berezovyy,RU,51.6667,135.7,257.57,90,93,1.48,Clouds
308,College,US,64.8569,-147.8028,249.52,98,66,1.45,Clouds
309,Bilma,NE,18.6853,12.9164,297.46,17,87,6.77,Clouds
310,Katherine,AU,-14.4667,132.2667,297.33,94,40,2.06,Rain
311,Golden,US,39.7555,-105.2211,279.31,42,40,3.13,Clouds
312,Kultuk,RU,51.7208,103.6956,254.66,84,100,2.46,Clouds
313,Rong Kwang,TH,18.339,100.3174,297.06,93,27,0.75,Clouds
314,Mani,CO,4.8172,-72.2886,297.83,86,100,2.11,Clouds
315,Portland,US,45.5234,-122.6762,277.93,93,98,2.24,Clouds
316,Esperance,AU,-33.8667,121.9,286.79,76,0,4.95,Clear
317,Buzmeyin,TM,38.0507,58.2056,287.72,47,85,2.33,Clouds
318,Kulu,TR,39.0951,33.0799,282.09,55,100,2.82,Clouds
319,Cornesti,RO,44.7833,25.8667,279.07,61,100,4.26,Clouds
320,Leshukonskoye,RU,64.8989,45.7622,263.53,96,98,2.55,Clouds
321,Marienburg,PL,54.0359,19.0266,276.42,90,93,3.17,Clouds
322,Dudinka,RU,69.4058,86.1778,257.3,96,100,4.65,Snow
323,Marsa Matruh,EG,31.3525,27.2453,293.72,42,50,2.82,Clouds
324,Nouakchott,MR,18.0858,-15.9785,305.11,27,0,5.71,Clear
325,Maha Sarakham,TH,16.3333,103.6667,304.21,69,100,0.8,Clouds
326,Belogorsk,RU,50.9158,128.4611,253.85,97,100,3.17,Clouds
327,Chuy,UY,-33.6971,-53.4616,298.52,57,15,5.47,Clouds
328,Okhotsk,RU,59.3833,143.3,254.18,76,73,8.13,Clouds
329,Pevek,RU,69.7008,170.3133,255.33,88,99,1.2,Clouds
330,Borogontsy,RU,62.6683,131.1683,228.03,100,68,0.26,Clouds
331,Goderich,CA,43.7501,-81.7165,275.88,73,100,5.73,Clouds
332,Vostok,RU,46.4856,135.8833,266.02,95,100,1.49,Snow
333,Laguna,US,38.421,-121.4238,281.66,88,0,0.0,Clear
334,Port Hardy,CA,50.6996,-127.4199,275.75,80,43,1.31,Clouds
335,Ayagoz,KZ,47.9714,80.4392,246.64,77,1,5.82,Clear
336,San Cristobal,VE,7.7669,-72.225,294.34,93,100,0.25,Clouds
337,Bahia Blanca,AR,-38.7196,-62.2724,305.88,29,100,6.06,Clouds
338,Okha,RU,53.5739,142.9478,263.79,84,72,8.14,Clouds
339,Korem,ET,12.5058,39.5228,288.14,51,98,3.38,Clouds
340,Beloha,MG,-25.1667,45.05,300.44,55,38,6.27,Clouds
341,Vila Franca Do Campo,PT,37.7167,-25.4333,293.38,89,100,8.87,Rain
342,Zhezkazgan,KZ,47.8043,67.7144,263.14,44,0,10.0,Clear
343,Kupang,ID,-10.1667,123.5833,299.37,86,98,2.73,Clouds
344,Zemio,CF,5.0314,25.1361,305.21,36,50,1.14,Clouds
345,Muros,ES,42.7762,-9.0603,287.64,75,100,5.1,Clouds
346,Tautira,PF,-17.7333,-149.15,298.1,80,24,4.98,Rain
347,Olafsvik,IS,64.8945,-23.7142,278.27,72,100,7.04,Clouds
348,Marolambo,MG,-20.05,48.1167,299.95,53,22,2.97,Clouds
349,Nichinan,JP,31.6,131.3667,293.63,80,100,6.68,Clouds
350,Andenes,NO,69.3143,16.1194,277.14,81,75,5.14,Clouds
351,Asau,RO,46.4333,26.4,274.66,83,100,1.31,Clouds
352,Ancud,CL,-41.8697,-73.8203,288.88,70,0,2.64,Clear
353,Ahuimanu,US,21.4447,-157.8378,296.9,90,94,0.45,Clouds
354,Luganville,VU,-15.5333,167.1667,299.59,83,24,2.85,Clouds
355,Salalah,OM,17.0151,54.0924,298.41,60,30,0.77,Clouds
356,Bilibino,RU,68.0546,166.4372,249.76,98,99,1.89,Clouds
357,Saint Anthony,US,45.0205,-93.218,271.59,86,0,4.63,Clear
358,Chernyanka,RU,50.9409,37.8069,271.74,87,96,3.81,Clouds
