City_ID,city,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind
261,Taoudenni,ML,2022-11-23 16:10:01,22.6783,-3.9836,82.6,8,99,12.71
262,Walvis Bay,NA,2022-11-23 16:10:02,-22.9575,14.5053,67.08,54,21,24.63
263,San Rafael,AR,2022-11-23 16:10:02,-34.6177,-68.3301,87.12,16,2,6.06
264,Lagoa,PT,2022-11-23 16:10:03,39.05,-27.9833,60.96,71,100,24.36
265,Beloha,MG,2022-11-23 16:10:04,-25.1667,45.05,73.47,82,11,18.39
266,Charters Towers,AU,2022-11-23 16:10:04,-20.1,146.2667,74.14,83,89,7.72
267,Sistranda,NO,2022-11-23 16:10:05,63.7256,8.834,39.16,59,55,27.72
268,Antalaha,MG,2022-11-23 16:10:05,-14.9003,50.2788,73.27,90,65,4.74
269,Supe,PE,2022-11-23 16:11:06,-10.8,-77.7333,70.38,73,8,9.22
270,Fukue,JP,2022-11-23 16:11:06,32.6881,128.8419,63.79,62,71,10.85
271,Abu Samrah,SY,2022-11-23 16:11:07,35.3029,37.1841,61.45,56,0,8.52
272,Mali,GN,2022-11-23 16:11:07,12.079,-12.2982,77.88,16,7,5.95
273,Khomeyn,IR,2022-11-23 16:11:08,33.6423,50.0789,48.67,33,100,1.86
274,Lavrentiya,RU,2022-11-23 16:11:08,65.5833,-171.0,10.29,81,9,10.25
275,Vostok,RU,2022-11-23 16:11:09,46.4856,135.8833,16.16,93,100,0.83
276,Aklavik,CA,2022-11-23 16:11:09,68.2191,-135.0107,9.23,96,100,7.36
277,Gasa,PS,2022-11-23 16:06:33,31.5,34.4667,67.87,66,0,11.41
278,Bolobo,CD,2022-11-23 16:11:10,-2.1667,16.2333,81.91,65,50,0.51
279,Pozo Colorado,PY,2022-11-23 16:11:10,-23.4923,-58.7972,84.67,26,26,5.97
280,Kaitangata,NZ,2022-11-23 16:11:11,-46.2817,169.8464,44.22,94,98,6.89
281,Kedrovyy,RU,2022-11-23 16:11:11,56.1667,91.8167,-3.14,92,100,12.57
282,Rocha,UY,2022-11-23 16:11:12,-34.4833,-54.3333,75.31,36,28,5.77
283,Yar-Sale,RU,2022-11-23 16:11:12,66.8333,70.8333,-0.38,98,97,6.58
284,Fort Nelson,CA,2022-11-23 16:11:12,58.8053,-122.7002,18.95,85,12,5.01
285,Ranong,TH,2022-11-23 16:11:13,9.9658,98.6348,77.25,90,80,3.83
286,Cuamba,MZ,2022-11-23 16:11:14,-14.8031,36.5372,73.13,80,86,3.89
